"regional";"municipio";"prestador_matricula";"prestador_nome";"ramo";"referencia";"remessa";"situacao";"valor_pagar";"observacoes"
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-10-01";2003402981;PAGPROC;1294.62;
ARAXA;ARAXA;3722813;CLINICA MEDICA DE ARAXA LTDA;CLIN;"2023-12-01";2002845349;LIBPAGTO;14651.89;
PASSOS;PASSOS;3411714;UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO;HOSP;"2023-12-01";2002849580;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-04-01";2003231487;EMREVISAO;909.83;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003427426;PAGPROC;3161.68;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003411050;EMREVISAO;1920.00;
TEOFILO OTONI;TEOFILO OTONI;3346377;LABORATORIO PASTEUR ANALISES CLINICAS LTDA;LABO;"2023-01-01";2002617545;PAGPROC;0.00;
BELO HORIZONTE;NOVA LIMA;48255;LABORATORIO MEDICO DE PATOLOGIA CLINICA LTDA;LABO;"2023-11-01";2002827064;PAGPROC;2208.80;
UBERLANDIA;ARAGUARI;3145269;SANTA CASA DE MISERICORDIA DE ARAGUARI;HOSP;"2024-11-01";2003250107;EMREVISAO;186.44;
BELO HORIZONTE;BELO HORIZONTE;3297881;INSTITUTO MOACYR JUNQUEIRA ANATOMIA PATOLOGICA E CITOPATOLOGIA LTDA;LABO;"2025-07-01";2003293056;PAGPROC;0.00;
ARAXA;ARAXA;2620401;ASSOCIACAO DE ASSISTENCIA SOCIAL DA SANTA CASA DE MISERICORDIA DE ARAXA;HOSP;"2025-10-01";2003350584;LIBPAGTO;973.63;
UBERLANDIA;UBERLANDIA;3869356;COMPLEXO HOSPITALAR UBERLANDIA S.A;HOSP;"2022-10-01";2002675710;PAGPROC;2320.04;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-11-01";2003339796;EMREVISAO;0.00;
PASSOS;PIUMHI;3331036;SANTA CASA DE MISERICORDIA DE PIUMHI;HOSP;"2025-04-01";2003272724;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003426748;PAGPROC;8395.75;
OLIVEIRA;CAMPO BELO;48993;SANTA CASA DE MISERICORDIA SAO VICENTE DE PAULO;HOSP;"2024-04-01";2003100168;EMREVISAO;675.93;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-10-01";2003347132;EMREVISAO;0.00;
BELO HORIZONTE;BELO HORIZONTE;48627;NUCLEAR MEDCENTER LTDA;CLIN;"2025-12-01";2003370993;EMREVISAO;1070.11;
